X,Y
3.402,7.434
3.632,12.862
3.692,7.49
3.738,7.082
3.762,7.1
3.764,12.38
3.788,12.372
3.838,12.232
3.86,12.706
3.878,7.232
3.882,6.894
3.9,6.742
3.936,6.994
3.95,12.67
3.968,13.016
3.978,13.308
3.994,7.206
4.018,7.062
4.026,7.23
4.03,7.126
4.038,12.67
4.052,12.934
4.058,13.718
4.062,6.984
4.066,12.514
4.07,7.104
4.088,7.212
4.122,7.238
4.128,13.4
4.134,12.834
4.162,6.87
4.166,7.256
4.172,6.848
4.176,12.71
4.19,12.772
4.218,13.03
4.234,12.994
4.238,12.506
4.24,12.626
4.246,6.692
4.248,12.392
4.25,13.002
4.25,6.76
4.254,7.264
4.256,7.612
4.26,13.118
4.276,7.244
4.278,7.222
4.288,6.91
4.292,7.208
4.316,12.764
4.328,12.99
4.334,13.06
4.336,12.854
4.348,13.268
4.364,7.184
4.38,12.792
4.398,7.428
4.402,7.082
4.412,7.022
4.424,13.186
4.426,12.238
4.454,12.084
4.456,7.146
4.46,13.16
4.492,12.464
4.5,12.522
4.502,6.928
4.548,7.654
4.55,6.822
4.55,7.29
4.576,12.878
4.61,12.95
4.614,12.526
4.654,12.566
4.732,7.154
4.852,6.83
4.888,7.194
5.016,7.054
5.13,13.296
7.304,9.266
7.616,9.446
7.622,10.148
7.668,10.924
7.668,9.026
7.704,8.672
7.71,9.538
7.724,3.414
7.776,8.898
7.814,10.872
7.832,8.952
7.85,9.334
7.87,10.838
7.874,11.296
7.874,8.856
7.876,8.796
7.882,10.832
7.892,8.808
7.904,9.194
7.908,11.346
7.94,10.996
7.942,11.076
7.966,10.72
7.976,9.578
7.978,11.13
7.988,11.228
7.992,8.952
7.996,9.172
8.004,10.574
8.022,9.334
8.034,9.792
8.042,10.79
8.046,9.228
8.046,9.204
8.05,10.746
8.056,8.434
8.068,10.118
8.068,9.202
8.08,10.992
8.082,10.676
8.088,9.294
8.092,8.956
8.096,10.714
8.096,10.878
8.102,4.3
8.104,15.962
8.116,10.698
8.118,11.012
8.118,8.608
8.12,16.11
8.124,10.932
8.164,10.534
8.164,11.112
8.166,10.698
8.172,9.01
8.198,11.398
8.202,9.232
8.214,10.62
8.218,3.548
8.224,10.316
8.226,9.038
8.236,9.108
8.242,9.308
8.248,10.994
8.248,16.154
8.262,9.468
8.27,10.716
8.28,10.104
8.286,10.734
8.286,3.704
8.288,3.466
8.294,3.38
8.298,3.378
8.32,9.062
8.33,16.488
8.33,16.066
8.352,8.896
8.352,9.016
8.354,10.38
8.368,8.968
8.37,8.904
8.374,3.748
8.374,4.136
8.376,16.112
8.376,3.788
8.376,3.956
8.38,3.178
8.386,10.772
8.386,16.24
8.386,3.952
8.398,16.576
8.398,16.282
8.404,9.366
8.416,8.654
8.458,16.452
8.468,16.378
8.468,15.928
8.472,11.082
8.494,10.584
8.502,16.166
8.504,11.378
8.518,15.84
8.524,16.392
8.534,8.55
8.534,3.252
8.542,15.918
8.562,3.662
8.562,3.856
8.566,17.012
8.582,11.064
8.582,16.774
8.588,16.24
8.592,3.988
8.6,3.828
8.6,3.712
8.614,15.908
8.616,16.112
8.616,3.45
8.618,8.552
8.62,16.674
8.622,9.174
8.624,3.698
8.632,11.124
8.632,3.82
8.652,3.782
8.662,16.354
8.684,16.776
8.706,16.374
8.71,8.458
8.722,3.854
8.738,4.294
8.768,4.32
8.778,16.486
8.796,3.888
8.808,15.59
8.81,16.458
8.81,3.864
8.816,3.58
8.826,16.474
8.826,16.084
8.83,16.36
8.838,3.926
8.844,8.024
8.844,16.026
8.844,16.362
8.858,3.274
8.87,3.554
8.874,3.602
8.878,16.004
8.884,3.504
8.892,8.166
8.904,15.846
8.904,16.402
8.94,3.836
8.942,16.19
8.974,16.53
8.978,12.37
8.98,4.014
8.986,12.31
9.014,11.744
9.014,4.034
9.024,11.846
9.026,3.788
9.064,16.456
9.07,11.092
9.086,3.6
9.1,3.84
9.11,8.014
9.12,11.76
9.146,8.044
9.146,8.158
9.152,16.094
9.178,11.53
9.222,8.002
9.272,12.152
9.274,7.566
9.28,11.976
9.282,11.976
9.29,8.472
9.322,11.514
9.334,7.658
9.336,10.456
9.35,11.71
9.358,8.242
9.364,12.012
9.378,10.21
9.382,12.226
9.382,7.664
9.386,7.746
9.392,11.18
9.4,10.086
9.404,7.79
9.404,8.228
9.424,7.83
9.43,7.676
9.432,8.61
9.432,8.122
9.438,12.11
9.44,8.058
9.45,11.96
9.458,8.54
9.482,7.766
9.506,11.648
9.518,9.956
9.52,8.282
9.53,9.862
9.542,7.688
9.558,7.948
9.568,8.052
9.576,7.866
9.582,12.14
9.584,8.478
9.586,7.91
9.592,12.012
9.6,7.874
9.622,11.558
9.622,11.528
9.622,8.004
9.638,10.208
9.662,7.866
9.666,11.88
9.694,7.448
9.702,11.536
9.706,9.978
9.71,11.772
9.712,10.264
9.718,11.95
9.73,9.91
9.736,7.552
9.754,10.43
9.76,7.932
9.786,8.066
9.788,7.684
9.796,10.378
9.802,10.132
9.808,12.23
9.836,9.902
9.848,10.328
9.848,11.632
9.878,8.054
9.906,10.588
9.908,10.606
9.914,11.844
9.916,12.028
9.916,11.962
9.92,10.022
9.932,10.234
9.944,9.934
9.954,9.704
9.954,12.398
9.96,11.538
9.966,11.822
9.992,11.836
10.028,12.268
10.062,10.26
10.066,8.19
10.072,12.202
10.098,9.988
10.138,9.828
10.154,9.82
10.172,10.598
10.182,9.99
10.196,9.746
10.234,11.974
10.236,9.91
10.238,9.866
10.256,9.25
10.284,10.348
10.286,9.712
10.286,7.892
10.296,11.61
10.298,9.948
10.35,9.768
10.352,9.932
10.356,9.198
10.386,10.608
10.394,9.984
10.41,9.912
10.444,8.684
10.514,10.498
10.578,11.354
10.674,8.936
10.718,8.534
10.736,11.68
10.746,11.702
10.78,8.294
10.836,8.664
10.84,8.218
10.904,8.532
10.932,7.796
10.94,11.482
10.948,11.532
10.95,11.402
10.96,11.392
10.962,11.75
10.974,11.114
10.988,12.298
11.012,11.364
11.014,11.746
11.04,8.322
11.084,11.554
11.088,8.326
11.106,11.868
11.12,11.634
11.124,8.618
11.144,11.91
11.154,11.692
11.16,8.43
11.168,8.262
11.178,12.062
11.182,8.342
11.198,10.854
11.198,7.886
11.2,11.062
11.21,11.114
11.212,8.516
11.212,8.308
11.22,11.64
11.23,11.728
11.23,8.126
11.232,11.374
11.246,10.122
11.246,8.584
11.248,11.722
11.25,8.192
11.252,8.566
11.264,11.724
11.272,8.394
11.282,8.28
11.284,8.742
11.312,11.718
11.334,8.17
11.356,8.586
11.368,11.56
11.372,11.466
11.392,8.94
11.404,8.206
11.412,11.924
11.424,11.454
11.442,8.688
11.466,8.558
11.502,10.008
11.51,12.052
11.51,8.094
11.524,10.982
11.53,11.918
11.536,7.586
11.554,11.576
11.56,11.798
11.566,8.024
11.59,9.712
11.59,8.496
11.59,8.408
11.594,10.078
11.602,11.888
11.614,8.588
11.626,11.894
11.628,10.286
11.638,8.266
11.65,11.496
11.656,11.346
11.696,8.906
11.736,10.122
11.736,10.29
11.772,9.924
11.798,8.836
11.808,10.058
11.846,9.634
11.864,12.406
11.88,8.08
11.894,10.012
11.906,9.82
11.952,9.682
11.988,9.926
11.998,9.676
12.04,10.028
12.044,9.358
12.064,9.616
12.082,10.044
12.096,9.846
12.104,10.388
12.114,10.904
12.134,9.482
12.164,11.018
12.176,10.364
12.22,9.796
12.228,9.978
12.252,9.938
12.27,9.792
12.274,9.936
12.276,10.99
12.34,9.918
12.348,10.488
12.35,9.798
12.364,10.176
12.374,10.018
12.4,10.156
12.458,10.18
12.53,10
12.648,9.814
13.266,4.858
13.332,4.592
13.362,14.932
13.388,15.39
13.408,15.34
13.468,4.92
13.546,14.844
13.636,5.218
13.652,14.602
13.664,5.016
13.668,5.34
13.67,5.406
13.68,14.988
13.692,14.958
13.708,15.048
13.73,15.128
13.764,15.212
13.786,14.726
13.81,14.526
13.816,14.602
13.834,14.778
13.836,4.51
13.842,4.984
13.85,4.246
13.856,15.206
13.874,14.954
13.888,15.436
13.894,4.16
13.916,14.996
13.922,14.802
13.948,14.218
13.952,14.868
13.958,15.322
13.958,5.35
13.978,5.356
13.986,14.77
13.986,5.05
13.998,5.498
14.004,4.92
14.004,5.228
14.018,5.182
14.02,5.614
14.064,15.072
14.074,14.384
14.098,14.9
14.108,4.918
14.114,15.366
14.12,4.87
14.13,14.838
14.13,15.11
14.138,14.63
14.154,4.768
14.168,15.276
14.194,15.04
14.198,4.804
14.204,14.822
14.204,14.976
14.204,5.064
14.218,5.544
14.238,15.296
14.272,4.94
14.278,15.152
14.278,5.26
14.294,14.996
14.3,5.368
14.306,5.06
14.318,4.592
14.32,4.59
14.336,5.176
14.362,14.644
14.364,4.748
14.366,5.104
14.37,4.884
14.386,14.686
14.4,15.04
14.4,5.296
14.41,4.656
14.44,5.33
14.528,4.812
14.744,5.248
15.93,10.106
15.982,9.92
16.004,10.28
16.1,9.702
16.1,9.93
16.128,9.888
16.13,9.748
16.162,10.302
16.202,9.7
16.22,9.494
16.224,10.02
16.226,9.67
16.268,9.522
16.27,10.128
16.278,9.452
16.296,9.458
16.314,10.716
16.366,9.796
16.404,10.072
16.41,10.188
16.418,9.966
16.436,9.41
16.448,9.566
16.456,10.112
16.47,9.698
16.482,9.986
16.488,10.542
16.502,9.98
16.532,9.776
16.57,10.21
16.572,9.624
16.584,9.754
16.586,10.174
16.612,10.218
16.622,9.652
16.626,10.162
16.67,10.498
16.674,9.638
16.982,10.596
17.124,9.726
