X,Y
1087,1344
1144,1391
1146,1422
1150,1401
1151,1429
1168,1418
1175,1429
1177,1430
1180,1447
1188,1420
1200,1459
1201,1477
1214,1439
1216,1465
1224,1458
1227,1491
1231,1483
1240,1490
1255,1527
1256,1543
1270,1518
1273,1527
1276,1523
1279,1534
1280,1504
1281,1540
1283,1524
1284,1499
1291,1572
1291,1555
1292,1545
1293,1575
1295,1209
1298,1553
1304,1571
1306,1579
1312,1563
1313,1587
1313,1574
1314,1127
1314,1525
1318,1567
1318,1526
1319,1602
1320,1127
1320,1610
1321,1619
1322,1591
1323,1581
1325,1546
1325,1596
1329,1566
1334,1613
1335,1586
1335,1580
1337,1587
1337,1600
1338,1582
1340,1624
1341,1551
1343,1616
1344,1602
1346,1579
1348,1612
1354,1632
1355,1614
1356,1612
1356,1249
1357,1621
1359,1633
1364,1291
1364,1617
1365,1605
1365,1630
1365,1226
1365,1305
1365,1222
1367,1623
1369,1605
1373,1594
1375,1627
1375,1635
1378,1625
1382,1629
1387,1659
1389,1209
1389,1677
1389,1259
1391,1646
1391,1215
1391,1661
1393,1647
1399,1682
1401,1303
1402,1641
1403,1294
1405,1079
1405,1702
1406,1647
1408,1242
1409,1660
1411,1663
1413,1296
1416,1681
1419,1661
1419,1662
1422,1710
1424,1233
1426,1681
1427,1737
1429,1655
1429,1126
1430,1664
1431,1354
1431,1670
1431,1682
1431,1234
1432,1097
1433,1681
1436,1094
1437,1682
1438,1671
1440,1702
1440,1675
1443,1324
1445,1716
1445,1684
1446,1681
1446,1078
1447,1722
1448,1719
1449,1712
1451,1683
1451,1695
1451,1273
1452,1121
1452,1709
1454,1696
1454,1298
1454,1297
1454,1706
1455,1683
1455,1283
1457,1153
1460,1127
1460,1705
1460,1346
1461,1336
1463,1427
1464,1712
1465,1711
1465,1685
1466,1323
1467,1732
1468,1267
1470,1341
1472,1282
1472,1451
1473,1738
1475,1757
1475,1110
1475,1715
1477,1120
1479,1749
1479,1704
1480,1146
1482,1145
1482,1738
1482,1752
1483,1258
1484,1710
1484,1254
1485,1724
1486,1150
1487,1755
1487,1735
1488,1240
1488,1713
1489,1339
1489,1124
1492,1274
1493,1133
1493,1742
1494,1084
1495,1138
1496,1237
1496,1742
1497,1382
1497,1761
1497,1254
1499,1130
1499,1781
1500,1312
1500,1311
1502,1321
1502,1393
1503,1763
1503,1135
1504,1728
1504,1763
1506,1349
1506,1133
1506,1339
1507,1775
1507,1739
1509,1756
1510,1372
1511,1746
1511,1154
1512,1772
1512,1755
1513,1503
1515,1140
1516,1295
1517,1363
1517,1356
1518,1761
1518,1351
1520,1775
1521,1784
1522,1152
1523,1149
1523,1298
1527,1788
1527,1154
1527,1322
1528,1316
1529,1327
1529,1399
1529,1372
1529,1158
1529,1170
1531,1186
1533,1138
1533,1496
1533,1303
1533,1320
1534,1385
1534,1323
1534,1342
1534,1523
1538,1335
1541,1176
1541,1759
1542,1332
1543,1783
1546,1349
1548,1292
1548,1364
1548,1783
1551,1397
1552,1797
1552,1788
1554,1836
1554,1330
1555,1806
1556,1309
1557,1346
1559,1538
1561,1313
1562,1455
1562,1416
1564,1189
1565,1350
1566,1524
1568,1357
1568,1544
1569,1528
1569,1395
1570,1532
1570,1374
1572,1195
1573,1407
1573,1530
1573,1402
1573,1336
1574,1385
1575,1368
1575,1170
1577,1198
1577,1396
1577,1386
1578,1546
1579,1549
1579,1844
1580,1195
1581,1191
1582,1549
1582,1558
1583,1568
1584,1372
1584,1558
1585,1199
1586,1155
1587,1865
1589,1389
1592,1558
1593,1315
1593,1395
1593,1186
1595,1172
1595,1199
1596,1216
1596,1820
1596,1208
1597,1440
1597,1576
1597,1437
1598,1249
1599,1585
1599,1394
1599,1218
1599,1383
1600,1365
1600,1217
1601,1182
1602,1214
1602,1224
1602,1854
1602,1199
1603,1568
1603,1229
1604,1359
1604,1440
1605,1383
1605,1379
1605,1224
1605,1407
1606,1214
1606,1434
1606,1182
1608,1230
1609,1583
1609,1214
1609,1589
1610,1570
1610,1455
1610,1427
1612,1592
1612,1400
1613,1204
1615,1207
1615,1217
1615,1202
1615,1228
1616,1394
1616,1218
1617,1572
1618,1574
1619,1242
1619,1383
1619,1585
1619,1380
1620,1271
1620,1221
1621,1579
1621,1383
1622,1244
1622,1432
1622,1398
1622,1419
1623,1892
1624,1571
1625,1435
1625,1864
1625,1877
1626,1435
1626,1597
1628,1588
1628,1589
1629,1199
1629,1424
1631,1438
1631,1226
1632,1264
1632,1601
1633,1227
1634,1247
1634,1220
1634,1872
1635,1427
1636,1608
1636,1596
1640,1238
1642,1240
1642,1270
1644,1225
1645,1408
1645,1450
1646,1617
1647,1485
1647,1470
1647,1266
1648,1621
1650,1475
1650,1273
1650,1416
1653,1400
1653,1298
1654,1253
1654,1478
1654,1618
1655,1235
1655,1619
1655,1465
1657,1464
1658,1249
1658,1645
1660,1449
1660,1462
1660,1395
1661,1267
1662,1256
1662,1408
1662,1255
1663,1647
1663,1276
1664,1395
1664,1619
1664,1627
1665,1639
1666,1487
1667,1244
1667,1940
1668,1640
1668,1650
1669,1633
1669,1518
1671,1629
1672,1291
1672,1282
1672,1263
1672,1634
1672,1267
1674,1297
1675,1620
1676,1264
1676,1430
1676,1296
1677,1649
1677,1535
1678,1640
1678,1263
1678,1642
1678,1654
1679,1644
1679,1510
1683,1417
1683,1646
1683,1237
1684,1641
1684,1271
1685,1655
1685,1259
1685,1526
1686,1250
1686,1266
1687,1668
1687,1258
1688,1459
1688,1669
1689,1642
1690,1232
1691,1290
1691,1661
1692,1661
1692,1276
1693,1460
1693,1246
1693,1269
1694,1648
1694,1234
1695,1442
1695,1486
1697,1663
1698,1680
1699,1478
1699,1675
1700,1538
1700,1673
1701,1279
1701,1658
1701,1496
1701,1665
1702,1668
1702,1275
1702,1670
1703,1664
1704,1671
1705,1318
1705,1534
1705,1662
1705,1252
1706,1261
1706,1650
1707,1677
1708,1680
1709,1659
1709,1669
1709,1561
1711,1688
1712,1287
1713,1284
1714,1437
1714,1290
1715,1676
1715,1247
1716,1275
1717,1675
1717,1291
1718,1687
1719,1277
1719,1687
1719,1254
1721,1681
1723,1310
1723,1672
1724,1307
1726,1527
1726,1689
1726,1692
1727,1679
1728,1674
1730,1698
1730,1580
1730,1693
1731,1530
1732,1287
1732,1276
1734,1316
1736,1291
1736,1285
1736,1684
1737,1455
1738,1717
1740,1518
1740,1690
1740,1723
1742,1711
1743,1705
1743,1317
1744,1689
1745,1289
1747,1706
1748,1329
1748,1716
1751,1311
1751,1296
1752,1711
1756,1720
1757,1317
1758,1721
1759,1559
1759,1329
1760,1716
1761,1329
1761,1727
1761,1316
1761,1717
1763,1570
1763,1729
1765,1731
1765,1352
1766,1347
1769,1277
1769,1728
1771,1735
1771,1301
1771,1338
1772,1727
1775,1321
1775,1332
1775,1312
1775,1582
1777,1751
1779,1332
1780,1330
1780,1729
1782,1734
1784,1335
1784,1590
1784,1742
1786,1540
1787,1311
1789,1760
1789,1334
1790,1351
1790,1350
1790,1319
1794,1744
1795,1757
1796,1735
1799,1351
1800,1619
1800,1764
1804,1322
1806,1353
1809,1530
1810,1549
1811,1754
1811,1767
1815,1330
1816,1793
1818,1783
1818,1602
1819,1512
1821,1779
1823,1778
1824,1354
1824,1356
1825,1318
1825,1345
1825,1781
1826,1551
1826,1611
1828,1356
1830,1602
1831,1359
1833,1809
1834,1329
1842,1791
1844,1598
1846,1368
1848,1806
1849,1368
1850,1792
1850,1816
1853,1805
1853,1796
1854,1390
1856,1838
1856,1382
1863,1602
1864,1827
1865,1391
1869,1392
1871,1358
1871,1836
1874,1623
1877,1837
1880,1375
1886,1842
1888,1848
1889,1856
1889,1853
1893,1856
1893,1835
1896,1398
1901,1406
1902,1405
1904,1866
1907,1401
1912,1868
1913,1419
1914,1409
1935,1886
1945,1888
1948,1454
1963,1912
1970,1788
1976,1431
1977,1923
1980,1457
2012,1422
2017,1817
2031,1810
2034,1843
2038,1835
2039,1850
2043,1821
2065,1845
2067,1814
2067,1846
2068,1864
2069,1868
2070,1858
2074,1884
2076,1864
2081,1889
2082,1841
2085,1840
2086,1889
2095,1897
2095,1906
2104,1863
2107,1871
2107,1876
2107,1546
2107,1503
2110,1880
2111,1515
2111,1905
2113,1883
2113,1875
2115,1904
2115,1876
2120,1864
2122,1493
2124,1868
2125,1903
2126,1869
2127,1959
2129,1930
2131,1907
2131,1880
2132,1919
2133,1608
2134,1911
2134,1546
2135,1901
2137,1903
2140,1654
2140,1903
2143,1940
2145,1584
2145,1902
2146,1684
2147,1936
2147,1903
2147,1944
2148,1515
2149,1933
2150,1917
2151,1664
2153,1455
2156,1916
2156,1550
2158,1920
2159,1908
2160,1915
2161,1921
2162,1940
2163,1668
2165,1893
2166,1959
2168,1881
2170,1973
2170,1914
2170,1591
2171,1542
2172,1497
2175,1563
2175,1934
2175,1937
2175,1924
2177,1674
2177,1951
2179,1954
2180,1939
2181,1931
2181,1935
2181,1914
2182,1952
2182,1609
2182,1949
2183,1946
2185,1951
2186,1926
2188,1939
2191,1615
2192,1575
2193,1943
2194,1725
2196,1562
2198,1984
2199,1624
2199,1974
2202,1931
2205,1955
2206,1533
2206,1953
2208,1768
2209,1940
2210,1697
2212,1655
2212,1953
2213,1613
2213,1988
2213,2004
2214,1963
2214,1973
2214,1700
2216,1948
