X,Y
1,4
2,5
3,5
4,6
5,7
6,7
7,8
8,9
9,9
10,10
11,11
12,11
13,12
14,13
15,13
16,14
17,15
18,15
19,16
20,17
21,17
22,18
23,19
24,19
25,20
26,21
27,21
28,22
29,23
30,23
31,24
32,25
33,25
34,26
35,27
36,27
37,28
38,29
39,29
40,30
41,31
42,31
43,32
44,33
45,33
46,34
47,35
48,35
49,36
50,37
51,37
52,38
53,39
54,39
55,40
56,41
57,41
58,42
59,43
60,43
61,44
62,45
63,45
64,46
65,47
66,47
67,48
68,49
69,49
70,50
71,51
72,51
73,52
74,53
75,53
76,54
77,55
78,55
79,56
80,57
81,57
82,58
83,59
84,59
85,60
86,61
87,61
88,62
89,63
90,63
91,64
92,65
93,65
94,66
95,67
96,67
97,68
98,69
99,69
100,70
101,71
102,71
103,72
104,73
105,73
106,74
107,75
108,75
109,76
110,77
111,77
112,78
113,79
114,79
115,80
116,81
117,81
118,82
119,83
120,83
121,84
122,85
123,85
124,86
125,87
126,87
127,88
128,89
129,89
130,90
131,91
132,91
133,92
134,93
135,93
136,94
137,95
138,95
139,96
140,97
141,97
142,98
143,99
144,99
145,100
146,101
147,101
148,102
149,103
150,103
151,104
152,105
153,105
154,106
155,107
156,107
157,108
158,109
159,109
160,110
161,111
162,111
163,112
164,113
165,113
166,114
167,115
168,115
169,116
170,117
171,117
172,118
173,119
174,119
175,120
176,121
177,121
178,122
179,123
180,123
181,124
182,125
183,125
184,126
185,127
186,127
187,128
188,129
189,129
190,130
191,131
192,131
193,132
194,133
195,133
196,134
197,135
198,135
199,136
200,137
201,137
202,138
203,139
204,139
205,140
206,141
207,141
208,142
209,143
210,143
211,144
212,145
213,145
214,146
215,147
216,147
217,148
218,149
219,149
220,150
221,151
222,151
223,152
224,153
225,153
226,154
227,155
228,155
229,156
230,157
231,157
232,158
233,159
234,159
235,160
236,161
237,161
238,162
239,163
240,163
241,164
242,165
243,165
244,166
245,167
246,167
247,168
248,169
249,169
250,170
251,171
252,171
253,172
254,173
255,173
256,174
257,175
258,175
259,176
260,177
261,177
262,178
263,179
264,179
265,180
266,181
267,181
268,182
269,183
270,183
271,184
272,185
273,185
274,186
275,187
276,187
277,188
278,189
279,189
280,190
281,191
282,191
283,192
284,193
285,193
286,194
287,195
288,195
289,196
290,197
291,197
292,198
293,199
294,199
295,200
296,201
297,201
298,202
